行政區別,村里別,投開票所別,1何堅心,2葉進國,3許慧玉,4林芳如,5張勝富,6吳利成,7王慧玲,8邱俊憲,9沈英章,有效票數,無效票數,投票數,已領未投票數,發出票數,用餘票數,選舉人數,投票率
大社區,嘉誠里,622,5,117,256,12,289,8,14,22,27,750,16,766,0,766,216,982,78
大社區,保社里,623,18,91,373,28,321,6,14,28,16,895,14,909,0,909,326,1235,73.599998474121
大社區,保社里,624,5,68,311,36,318,13,22,68,27,868,14,882,0,882,511,1393,63.3199996948242
大社區,大社里,625,0,169,217,26,240,15,14,52,12,745,12,757,0,757,235,992,76.3099975585937
大社區,大社里,626,3,167,247,13,208,5,16,32,13,704,14,718,0,718,370,1088,65.9899978637695
大社區,大社里,627,4,212,245,20,265,11,28,56,10,851,9,860,0,860,289,1149,74.849998474121
大社區,大社里,628,15,124,398,27,268,14,30,83,32,991,10,1001,0,1001,428,1429,70.0500030517578
大社區,保安里,629,2,226,301,27,275,13,18,56,15,933,18,951,0,951,409,1360,69.9300003051757
大社區,保安里,630,15,237,349,37,305,13,40,105,25,1126,28,1154,1,1155,442,1597,72.2600021362304
大社區,三奶里,631,1,87,247,23,234,10,20,41,22,685,10,695,0,695,236,931,74.6500015258789
大社區,三奶里,632,5,94,180,18,234,9,28,50,11,629,7,636,0,636,234,870,73.099998474121
大社區,三奶里,633,1,103,187,13,215,4,6,44,7,580,17,597,0,597,154,751,79.4899978637695
大社區,觀音里,634,0,152,182,16,386,12,9,31,15,803,14,817,0,817,254,1071,76.2799987792968
大社區,觀音里,635,8,156,247,25,341,13,21,62,30,903,11,914,0,914,427,1341,68.1600036621093
大社區,觀音里,636,7,135,278,24,328,20,30,80,33,935,25,960,0,960,411,1371,70.0199966430664
大社區,觀音里,637,18,154,245,22,248,23,28,83,20,841,16,857,0,857,423,1280,66.9499969482421
大社區,神農里,638,4,201,264,24,380,21,25,72,27,1018,15,1033,0,1033,421,1454,71.0500030517578
大社區,神農里,639,10,249,267,16,326,30,27,54,33,1012,20,1032,0,1032,388,1420,72.6800003051757
大社區,神農里,640,3,147,386,19,325,12,36,87,19,1034,9,1043,0,1043,414,1457,71.5899963378906
大社區,中里里,641,3,207,226,17,222,6,19,37,25,762,9,771,0,771,310,1081,71.3199996948242
大社區,中里里,642,11,100,273,18,248,15,14,64,27,770,14,784,0,784,305,1089,71.9899978637695
大社區,中里里,643,5,73,199,19,209,9,10,35,21,580,7,587,0,587,267,854,68.7399978637695
大社區,翠屏里,644,13,83,171,12,243,7,8,33,12,582,17,599,0,599,152,751,79.7600021362304
大社區,翠屏里,645,1,87,286,16,217,8,9,43,8,675,18,693,0,693,181,874,79.2900009155273
仁武區,大灣里,646,21,163,125,105,195,54,28,169,289,1149,14,1163,0,1163,423,1586,73.3300018310546
仁武區,大灣里,647,9,105,118,118,190,84,47,189,294,1154,20,1174,0,1174,653,1827,64.2600021362304
仁武區,灣內里,648,6,66,117,69,112,44,37,179,207,837,16,853,0,853,419,1272,67.0599975585937
仁武區,灣內里,649,17,61,94,74,189,54,49,136,238,912,17,929,0,929,430,1359,68.3600006103515
仁武區,灣內里,650,38,37,64,51,99,32,30,138,251,740,11,751,0,751,327,1078,69.6699981689453
仁武區,灣內里,651,7,86,217,100,166,81,74,220,459,1410,21,1431,0,1431,877,2308,62
仁武區,考潭里,652,12,57,180,77,93,88,47,132,242,928,19,947,0,947,327,1274,74.3300018310546
仁武區,考潭里,653,18,129,192,64,112,58,30,105,206,914,17,931,0,931,370,1301,71.5599975585937
仁武區,烏林里,654,6,42,243,51,114,84,17,84,175,816,9,825,0,825,328,1153,71.5500030517578
仁武區,烏林里,655,34,39,241,39,117,43,23,58,209,803,11,814,0,814,333,1147,70.9700012207031
仁武區,烏林里,656,8,42,243,60,80,61,44,107,180,825,14,839,0,839,432,1271,66.0100021362304
仁武區,仁福里,657,4,68,52,36,147,41,16,38,176,578,7,585,0,585,186,771,75.8799972534179
